horse_no,horses,win_odds,prev_win_odds,win_odds_change,win_amount,prev_win_amount,win_amount_increase,place_odds,prev_place_odds,place_odds_change,place_amount,prev_place_amount,place_amount_increase
9,綫路英雄,2.8,3.0,-0.07,691809.35,250792.57,441016.78,1.5,1.1,0.36,745631.15,422988.0,322643.15
6,健康快車,3.8,4.2,-0.1,509754.26,179137.55,330616.71,1.3,1.6,-0.19,860343.63,290804.25,569539.38
4,國千金,7.2,6.1,0.18,269036.97,123340.61,145696.36,2.4,2.3,0.04,466019.47,202298.61,263720.86
2,嘉應奇兵,9.2,10.0,-0.08,210550.67,75237.77,135312.9,2.6,3.0,-0.13,430171.82,155095.6,275076.22
10,太子,8.0,7.0,0.14,242133.27,107482.53,134650.74,2.7,2.3,0.17,414239.53,202298.61,211940.92
3,競駿皇者,12.0,11.0,0.09,161422.18,68397.97,93024.21,2.9,3.2,-0.09,385671.28,145402.12,240269.16
5,黃金大亨,15.0,15.0,0.0,129137.74,50158.51,78979.23,3.3,4.1,-0.2,338923.25,113484.59,225438.66
1,南區之星,33.0,27.0,0.22,58698.97,27865.84,30833.13,6.5,7.0,-0.07,172068.73,66469.54,105599.19
7,名揚四海,51.0,43.0,0.19,37981.69,17497.16,20484.53,9.2,9.9,-0.07,121570.3,46998.67,74571.63
8,贏得威楓,42.0,29.0,0.45,46120.62,25944.06,20176.56,7.1,5.7,0.25,157527.71,81629.26,75898.45
